56.1582791706332,15.5889175015288,Sundin 20,100001-7,33
56.1583750659845,15.5876470579758,Sundin 31,100003-8,46
56.1585342900934,15.5824813253008,Von Gerdten 55,100008-5,63
56.158887405543,15.581907056139,Taube 1,100009-0,73
56.1597945325667,15.5800691863725,Kanonen 3,100010-6,30
56.1598721401548,15.5807626881936,Kanonen 16,100011-1,53
56.159796632954,15.5815343835965,Lavetten 3,100012-7,40
56.1595631939962,15.5814986557237,Lavetten 12,100013-2,42
56.159621731211,15.5881169078827,Rosenfeldt 30,100015-3,135
56.159175703114,15.5930851391321,Palmqvist 14,100016-9,67
56.1600137389385,15.5906990284896,Ehnemark 12,100017-4,34
56.1598366688845,15.590148885832,Ehnemark 24,100019-5,56
56.1603875725838,15.583877951941,Borgmästaren 27,100020-0,45
56.1594387017522,15.5812230653965,Arklimästaren,100022-1,1
56.1603292776027,15.5809949985076,Väbeln 17,100023-7,66
56.1601077721939,15.5803315203275,Väbeln 18,100024-2,80
56.1600645888665,15.5799605501483,Väbeln 19,100025-8,30
56.1611678341023,15.5784475501578,Hantverkaren 30,100026-3,43
56.1612683931588,15.5780787306905,Hantverkaren 31,100027-9,56
56.1607784899598,15.5810017788694,Rosen 48,100028-4,63
56.1604867730389,15.5799830121421,Rosen 50,100030-5,79
56.1610360206032,15.5797336682508,Rosen 52,100031-0,95
56.1613792336649,15.5793524043947,Odin 19,100033-1,22
56.1605105632258,15.5901431166425,Gyllengranat 16,100035-2,80
56.1608205496601,15.5910817364874,Lagercrantz 13,100036-8,92
56.1608737731518,15.5893436261993,Lagercrantz 14,100037-3,86
56.1613016918799,15.5919263958455,Tersmeden 33,100038-9,69
56.1616235625012,15.5712570380779,Tre Kronor 3,100039-4,82
56.1657689078759,15.5646679450874,Tärnan 1,100048-3,87
56.1658229605638,15.5646365317279,Tärnan 1,100049-9,30
56.1622122535403,15.5875124203764,Riksbanken 6,100055-1,45
56.1623381914314,15.5912499587102,Wattrang 21,100057-2,110
56.1621662145274,15.5933888462827,Sjöbladh 61,100058-8,40
56.1630739356546,15.5952062767042,Ruthensparre 21,100059-3,149
56.1630739356546,15.5952062767042,Ruthensparre 21,100060-9,144
56.1637058012484,15.5889683295066,Adlersten 84,100061-4,49
56.1634388841644,15.5903007320384,Adlersten 53,100063-5,50
56.1634388841644,15.5903007320384,Adlersten 53,100064-0,56
56.1632829981663,15.5909585309673,Adlersten 56,100065-6,75
56.1631572811245,15.5871725988583,Urmakaren 56,100066-1,74
56.1631197376601,15.5875101705778,Urmakaren 57,100067-7,48
56.163191381943,15.5875595706424,Urmakaren 58,100068-2,56
56.1635289536105,15.5883698385127,Urmakaren 68,100069-8,49
56.1644414113158,15.5816206671061,Cederström 21,100071-9,110
56.1642707865006,15.581601985997,Cederström 21,100072-4,16
56.1640918591227,15.5814382569338,Cederström 21,100074-5,60
56.1643587343717,15.5820058807972,Törnström 4,100075-0,29
56.1642469027569,15.5828576266149,Törnström 9,100076-6,43
56.1640500844709,15.5826775184333,Törnström 10,100077-1,71
56.1639620068642,15.5842059192526,Dahlberg 38,100079-2,30
56.1645523127029,15.5885626131488,Viborg 26,100080-8,83
56.1642443946795,15.5890731871676,Läroverket 21,100083-4,70
56.1655068490649,15.5918783506152,Lindblad 24,100086-0,66
56.1655162389901,15.589913913845,Lagerstråle 17,100087-6,46
56.1655172377156,15.5897045885462,Lagerstråle 18,100088-1,48
56.1661663101038,15.5873634389589,Nauckhoff 15,100089-7,77
56.1656501895054,15.5825085064323,Rügen 48,100090-2,30
56.1653733468516,15.5821500489504,Rügen 53,100093-9,54
56.1650138256539,15.5821768164998,Rügen 53,100094-4,88
56.1652924887067,15.5821488258472,Rügen 53,100096-5,68
56.1710524274026,15.5877118174055,Pantarholmen 11,100101-0,48
56.1714384426467,15.5877821360195,Pantarholmen 19,100106-8,185
56.1713357086303,15.5886019500235,Nordenskjöld 7,100107-3,125
56.1718431280606,15.5895921644844,Väderkvarnen 20,100108-9,180
56.1718431280606,15.5895921644844,Väderkvarnen 20,100109-4,74
56.171791832822,15.58904378298,Stenbock 34,100112-0,39
56.1721580223571,15.5876159639733,Jagaren 28,100113-6,139
56.1722322680137,15.5871178140208,Jagaren 28,100114-1,75
56.1718823422518,15.5870158396381,Jagaren 30,100115-7,116
56.1722081436891,15.5865215268263,Fregatten 12,100116-2,92
56.1718940015273,15.5864523149016,Fregatten 13,100117-8,80
56.1727906918629,15.5887208459234,Hemmet 25,100118-3,44
56.1744622160985,15.5886497831047,Posse 6,100122-5,193
56.1748767664329,15.5826965225327,Nyponet 8,100123-0,50
56.1748793460517,15.5821489224401,Nyponet 9,100124-6,32
56.1784202140858,15.580060076289,Lärkträdet 2,100125-1,92
56.1788947904725,15.5804055158486,Lärkträdet 2,100126-7,92
56.1790068933581,15.5814059505508,Lärkträdet 2,100127-2,86
56.1789162178731,15.581581775952,Lärkträdet 2,100128-8,36
56.1784748544149,15.5818167309142,Lärkträdet 2,100129-3,92
56.1782599909826,15.5816523965489,Lärkträdet 2,100130-9,48
56.1781553609733,15.5809742614408,Lärkträdet 2,100131-4,40
56.1782372783576,15.5807499805278,Lärkträdet 2,100133-5,24
56.1800157756529,15.5808573788977,Aspen 1,100134-0,88
56.1805102860111,15.5807842998347,Aspen 1,100135-6,88
56.1799371588264,15.582289906147,Aspen 1,100136-1,88
56.1803823118656,15.581249538245,Aspen 1,100137-7,128
56.1760655680923,15.599031467258,Ingenjören 5,100138-2,194
56.1760154841441,15.5982414185133,Ingenjören 5,100139-8,146
